permutation|time
(0, 2, 3, 4, 1)|0:00:24.210020
(0, 2, 3, 4, 1)|0:00:24.213000
(0, 2, 3, 4, 1)|0:00:24.252116
(0, 2, 3, 4, 1)|0:00:24.188027
(0, 2, 3, 4, 1)|0:00:24.333000
(0, 2, 3, 4, 1)|0:00:24.316000
(0, 2, 3, 4, 1)|0:00:24.235001
(0, 2, 3, 4, 1)|0:00:24.281000
(0, 2, 3, 4, 1)|0:00:24.265000
(0, 2, 3, 4, 1)|0:00:24.237000
(0, 2, 3, 4, 1)|0:00:24.143001
(0, 2, 3, 4, 1)|0:00:24.192000
(0, 2, 3, 4, 1)|0:00:24.398998
(0, 2, 3, 4, 1)|0:00:24.459001
(0, 2, 3, 4, 1)|0:00:24.334001
(0, 2, 3, 4, 1)|0:00:24.287003
(0, 2, 4, 1, 3)|0:00:23.546983
(0, 2, 4, 1, 3)|0:00:23.592000
(0, 2, 4, 1, 3)|0:00:23.592000
(0, 2, 4, 1, 3)|0:00:23.580031
(0, 2, 4, 1, 3)|0:00:23.539001
(0, 2, 4, 1, 3)|0:00:23.525001
(0, 2, 4, 1, 3)|0:00:23.692001
(0, 2, 4, 1, 3)|0:00:23.608999
(0, 2, 4, 1, 3)|0:00:23.594001
(0, 2, 4, 1, 3)|0:00:23.569001
(0, 2, 4, 1, 3)|0:00:23.587600
(0, 2, 4, 1, 3)|0:00:23.622999
(0, 2, 4, 1, 3)|0:00:23.518026
(0, 2, 4, 1, 3)|0:00:23.660999
(0, 2, 4, 1, 3)|0:00:23.507001
(0, 2, 4, 1, 3)|0:00:23.495002
(0, 2, 4, 1, 3)|0:00:23.668999
(0, 2, 4, 1, 3)|0:00:23.425000
(0, 2, 4, 1, 3)|0:00:23.429017
(0, 2, 4, 1, 3)|0:00:23.370999
(0, 2, 4, 3, 1)|0:00:24.184000
(0, 2, 4, 3, 1)|0:00:31.578001
(0, 2, 4, 3, 1)|0:00:27.111038
(0, 2, 4, 3, 1)|0:00:24.482000
(0, 2, 4, 3, 1)|0:00:24.176997
(0, 2, 4, 3, 1)|0:00:24.193000
(0, 2, 4, 3, 1)|0:00:24.251002
(0, 2, 4, 3, 1)|0:00:24.175000
(0, 2, 4, 3, 1)|0:00:24.241001
(0, 2, 4, 3, 1)|0:00:24.146998
(0, 2, 4, 3, 1)|0:00:24.134999
(0, 2, 4, 3, 1)|0:00:24.026001
(0, 2, 4, 3, 1)|0:00:24.032001
(0, 2, 4, 3, 1)|0:00:24.189000
(0, 2, 4, 3, 1)|0:00:24.016002
(0, 2, 4, 3, 1)|0:00:24.224001
(0, 2, 4, 3, 1)|0:00:24.094002
(0, 2, 4, 3, 1)|0:00:23.983510
(0, 2, 4, 3, 1)|0:00:24.118000
(0, 2, 4, 3, 1)|0:00:24.168001
(0, 3, 1, 2, 4)|0:00:15.888001
(0, 3, 1, 2, 4)|0:00:15.794996
(0, 3, 1, 2, 4)|0:00:15.785000
(0, 3, 1, 2, 4)|0:00:15.839000
(0, 3, 1, 2, 4)|0:00:15.869113
(0, 3, 1, 2, 4)|0:00:15.789001
(0, 3, 1, 2, 4)|0:00:15.806999
(0, 3, 1, 2, 4)|0:00:15.817001
(0, 3, 1, 2, 4)|0:00:15.869000
(0, 3, 1, 2, 4)|0:00:15.869999
(0, 3, 1, 2, 4)|0:00:15.819001
(0, 3, 1, 2, 4)|0:00:15.836000
(0, 3, 1, 2, 4)|0:00:15.848002
(0, 3, 1, 2, 4)|0:00:15.838000
(0, 3, 1, 2, 4)|0:00:15.720000
(0, 3, 1, 2, 4)|0:00:15.959000
(0, 3, 1, 2, 4)|0:00:15.892026
(0, 3, 1, 2, 4)|0:00:15.829000
(0, 3, 1, 2, 4)|0:00:15.773000
(0, 3, 1, 2, 4)|0:00:15.940998
(0, 3, 1, 4, 2)|0:00:15.882000
(0, 3, 1, 4, 2)|0:00:15.864001
(0, 3, 1, 4, 2)|0:00:15.856023
(0, 3, 1, 4, 2)|0:00:15.843000
(0, 3, 1, 4, 2)|0:00:15.867000
(0, 3, 1, 4, 2)|0:00:15.769022
(0, 3, 1, 4, 2)|0:00:15.766000
(0, 3, 1, 4, 2)|0:00:15.837000
(0, 3, 1, 4, 2)|0:00:15.889000
(0, 3, 1, 4, 2)|0:00:16.002000
(0, 3, 1, 4, 2)|0:00:15.890001
(0, 3, 1, 4, 2)|0:00:15.800000
(0, 3, 1, 4, 2)|0:00:15.817999
(0, 3, 1, 4, 2)|0:00:15.774504
(0, 3, 1, 4, 2)|0:00:15.850117
(0, 3, 1, 4, 2)|0:00:15.836000
(0, 3, 1, 4, 2)|0:00:15.844999
(0, 3, 1, 4, 2)|0:00:15.932001
(0, 3, 1, 4, 2)|0:00:15.882000
(0, 3, 1, 4, 2)|0:00:15.878999
(0, 3, 2, 1, 4)|0:00:15.860069
(0, 3, 2, 1, 4)|0:00:15.972999
(0, 3, 2, 1, 4)|0:00:15.808000
(0, 3, 2, 1, 4)|0:00:15.811998
(0, 3, 2, 1, 4)|0:00:15.782999
(0, 3, 2, 1, 4)|0:00:15.924001
(0, 3, 2, 1, 4)|0:00:15.900113
(0, 3, 2, 1, 4)|0:00:15.849000
(0, 3, 2, 1, 4)|0:00:15.741001
(0, 3, 2, 1, 4)|0:00:15.864000
(0, 3, 2, 1, 4)|0:00:15.806000
(0, 3, 2, 1, 4)|0:00:15.882000
(0, 3, 2, 1, 4)|0:00:15.838000
(0, 3, 2, 1, 4)|0:00:15.859000
(0, 3, 2, 1, 4)|0:00:15.912027
(0, 3, 2, 1, 4)|0:00:15.867001
(0, 3, 2, 1, 4)|0:00:15.912000
(0, 3, 2, 1, 4)|0:00:15.796001
(0, 3, 2, 1, 4)|0:00:15.910000
(0, 3, 2, 1, 4)|0:00:15.823001
(0, 3, 2, 4, 1)|0:00:24.197002
(0, 3, 2, 4, 1)|0:00:24.157001
(0, 3, 2, 4, 1)|0:00:24.200000
(0, 3, 2, 4, 1)|0:00:24.183001
(0, 3, 2, 4, 1)|0:00:24.131203
(0, 3, 2, 4, 1)|0:00:24.234512
(0, 3, 2, 4, 1)|0:00:24.186999
(0, 3, 2, 4, 1)|0:00:24.285998
